Player,MPG,PPG,RPG,APG,PER,STL_PG,BLK_PG,WS/48
Alec Burks,15.5,6.7,2.9,0.7,11.6,0.4,0.1,0.056
Patrick Mccaw,15.1,4,1.4,1.1,8.6,0.5,0.2,0.077
C.J. Watson,16.3,4.5,1.4,1.8,9.3,0.7,0,0.041
Rodney Stuckey,17.8,7.2,2.2,2.2,9.5,0.4,0,-0.006
Lance Thomas,21,6,3.1,0.8,8.4,0.5,0.1,0.046
Ersan Ilyasova,24.3,10.4,5.8,1.7,13.5,0.8,0.3,0.106
Jordan Crawford,23.3,14.1,1.8,3,17.6,0.6,0.1,0.102
Darrell Arthur,15.6,6.4,2.7,1,12.8,0.5,0.5,0.081
Gerald Green,11.4,5.6,1.8,0.7,12,0.2,0.1,0.051
Kris Humphries,12.3,4.6,3.7,0.5,13.6,0.3,0.4,0.115
Nerlens Noel,19.4,8.9,5,1,20.8,1.5,0.9,0.184
Spencer Hawes,17.9,7.3,4.2,1.8,14.8,0.4,0.7,0.086
Lucas Nogueira,19.1,4.4,4.3,0.7,15.5,0.9,1.6,0.164
Tyreke Evans,18.2,9.5,3.3,3.5,15.8,0.9,0.2,0.053
Kyle Anderson,14.2,3.4,2.9,1.3,12.5,0.7,0.4,0.127
Mason Plumlee,23.4,9.1,6.4,2.6,16.3,0.7,1.1,0.107
Corey Brewer,15.9,4.2,2,1.1,7.5,0.6,0.2,0.044
Thomas Robinson,11.7,5,4.6,0.6,17.3,0.5,0.2,0.079
Paul Zipser,19.2,5.5,2.8,0.8,6.9,0.3,0.4,0.03
Kevin Seraphin,11.4,4.7,2.9,0.5,14.4,0.1,0.4,0.082
Joakim Noah,22.1,5,8.7,2.2,15.2,0.7,0.8,0.107
Anthony Morrow,15.7,5.8,0.7,0.5,9.2,0.6,0.1,0.069
Pascal Siakam,15.6,4.2,3.4,0.3,11.5,0.5,0.8,0.089
Beno Udrih,14.4,5.8,1.5,3.4,16.1,0.3,0,0.111
Thon Maker,9.9,4,2,0.4,14,0.2,0.5,0.113
Marcus Thornton,17.4,6.6,2.3,1.2,10.4,0.6,0.1,0.042
Shabazz Napier,9.7,4.1,1.2,1.3,13.6,0.6,0,0.06
Roy Hibbert,16,5.2,3.6,0.5,13.5,0.2,1,0.13
Ron Baker,16.5,4.1,1.9,2.1,7.5,0.7,0.2,-0.008
Salah Mejri,12.4,2.9,4.2,0.2,14.8,0.4,0.8,0.159
Chandler Parsons,19.9,6.2,2.5,1.6,7.6,0.6,0.1,0.016
Quincy Acy,15.9,6.5,3.3,0.6,13.1,0.4,0.5,0.102
Tyus Jones,12.9,3.5,1.1,2.6,13.8,0.8,0.1,0.095
Taj Gibson,21.2,9,4.5,0.6,13.8,0.6,0.7,0.076
Alexis Ajinca,15,5.3,4.5,0.3,12.9,0.5,0.6,0.08
Justin Anderson,21.6,8.5,4,1.4,12.8,0.5,0.3,0.084
Ed Davis,17.2,4.3,5.3,0.6,11.5,0.3,0.5,0.104
Brandon Rush,21.9,4.2,2.1,1,6.6,0.5,0.5,0.019
Justise Winslow,34.7,10.9,5.2,3.7,8.2,1.5,0.3,-0.008
Boban Marjanovic,8.4,5.5,3.7,0.3,29.6,0.2,0.3,0.28
Brandan Wright,16,6.8,2.8,0.5,18.5,0.4,0.7,0.177
Nerlens Noel,22,8.5,6.8,0.9,19.9,1,1.1,0.179
Wesley Johnson,11.9,2.7,2.7,0.3,8.4,0.4,0.4,0.051
Luis Scola,12.8,5.1,3.9,1,13.9,0.4,0.1,0.082
Semaj Christon,15.2,2.9,1.4,2,5.7,0.4,0.1,0.006
